,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5516730,3741541,HK690807,10/16/2004 04:35:29 PM,063XX S BISHOP ST,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,True,False,725,7.0,16.0,67.0,18,1167753.0,1862701.0,2004,04/15/2016 08:55:02 AM,41.778793876,-87.660551996,"(41.778793876, -87.660551996)"
5516732,3741547,HK687486,10/15/2004 12:40:57 AM,063XX S MORGAN ST,2027,NARCOTICS,POSS: CRACK,STREET,True,False,724,7.0,16.0,68.0,18,1170730.0,1862880.0,2004,04/15/2016 08:55:02 AM,41.779220641,-87.649632877,"(41.779220641, -87.649632877)"
5516736,3741554,HK688332,10/15/2004 11:21:49 AM,049XX N WHIPPLE ST,2022,NARCOTICS,POSS: COCAINE,RESIDENCE,True,False,1713,17.0,33.0,14.0,18,1155152.0,1932560.0,2004,04/15/2016 08:55:02 AM,41.970755442,-87.704873332,"(41.970755442, -87.704873332)"
5516737,3741562,HK689238,10/15/2004 06:05:00 PM,037XX W 16TH ST,2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,GROCERY FOOD STORE,True,False,1014,10.0,24.0,29.0,22,1151858.0,1891789.0,2004,04/15/2016 08:55:02 AM,41.858941802,-87.71806122,"(41.858941802, -87.71806122)"
5516740,3741565,HL111130,09/20/2004 06:00:00 PM,044XX S WALLACE ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,935,9.0,11.0,61.0,26,1173044.0,1875264.0,2004,04/15/2016 08:55:02 AM,41.813152841,-87.640783778,"(41.813152841, -87.640783778)"
5516743,3741574,HK689472,10/15/2004 09:55:06 PM,039XX W ADAMS ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1122,11.0,28.0,26.0,18,1150212.0,1898722.0,2004,04/15/2016 08:55:02 AM,41.877998967,-87.723922524,"(41.877998967, -87.723922524)"
5516746,3741579,HL111232,12/21/2004 11:15:00 AM,001XX S PULASKI RD,2820,OTHER OFFENSE,TELEPHONE THREAT,LIBRARY,False,False,1122,11.0,28.0,26.0,26,1149746.0,1899192.0,2004,04/15/2016 08:55:02 AM,41.879297767,-87.725621359,"(41.879297767, -87.725621359)"
5516748,3741584,HK689488,10/15/2004 10:29:52 PM,003XX S PULASKI RD,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1132,11.0,28.0,26.0,18,1149775.0,1898304.0,2004,04/15/2016 08:55:02 AM,41.876860431,-87.725537965,"(41.876860431, -87.725537965)"
5516750,3741590,HL111360,12/28/2004 11:00:00 AM,040XX N CALIFORNIA AVE,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,1724,17.0,33.0,16.0,06,1156995.0,1926677.0,2004,04/15/2016 08:55:02 AM,41.954574854,-87.698256778,"(41.954574854, -87.698256778)"
5516764,3741619,HL111562,08/21/2002 03:00:00 PM,048XX W THOMAS ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1531,15.0,37.0,25.0,06,1143928.0,1906881.0,2002,04/15/2016 08:55:02 AM,41.900508343,-87.746791341,"(41.900508343, -87.746791341)"
5516767,3741625,HL111588,03/02/2002 12:00:00 PM,058XX S BISHOP ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,713,7.0,16.0,67.0,06,1167661.0,1866095.0,2002,04/15/2016 08:55:02 AM,41.788109403,-87.660791953,"(41.788109403, -87.660791953)"
5516770,3741628,HK837813,12/21/2004 08:00:00 AM,040XX N CICERO AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,GAS STATION,False,False,1624,16.0,45.0,15.0,11,1143656.0,1926256.0,2004,04/15/2016 08:55:02 AM,41.953680371,-87.747304035,"(41.953680371, -87.747304035)"
5516774,3741639,HK837880,12/31/2004 11:30:00 AM,044XX N MARINE DR,0820,THEFT,$500 AND UNDER,STREET,False,False,2313,19.0,46.0,3.0,06,1170949.0,1929505.0,2004,04/15/2016 08:55:02 AM,41.962039762,-87.646876692,"(41.962039762, -87.646876692)"
5516781,3741649,HL111657,12/23/2004 04:15:00 PM,009XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1833,18.0,42.0,8.0,06,1177320.0,1906851.0,2004,04/15/2016 08:55:02 AM,41.899734047,-87.624142375,"(41.899734047, -87.624142375)"
5516785,3741654,HL109759,12/16/2004 10:00:00 AM,003XX N LA SALLE DR,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,False,False,1831,18.0,42.0,8.0,11,1175073.0,1902866.0,2004,04/15/2016 08:55:02 AM,41.888849669,-87.632515083,"(41.888849669, -87.632515083)"
5516789,3741659,HL109357,12/19/2004 04:30:00 PM,009XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,OTHER,False,False,1833,18.0,42.0,8.0,06,1177324.0,1906733.0,2004,04/15/2016 08:55:02 AM,41.899410159,-87.624131266,"(41.899410159, -87.624131266)"
5516791,3741661,HL111011,12/29/2004 01:18:00 PM,025XX N NARRAGANSETT AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,2512,25.0,36.0,19.0,06,1133315.0,1916277.0,2004,04/15/2016 08:55:02 AM,41.926484632,-87.785553657,"(41.926484632, -87.785553657)"
5516793,3741669,HL109500,12/16/2004 08:30:00 AM,030XX N SHERIDAN RD,0890,THEFT,FROM BUILDING,APARTMENT,False,False,2332,19.0,44.0,6.0,06,1173045.0,1920350.0,2004,04/15/2016 08:55:02 AM,41.936871824,-87.639443146,"(41.936871824, -87.639443146)"
5516795,3741671,HL111320,12/17/2004 08:00:00 PM,030XX W WALNUT ST,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",ALLEY,False,False,1331,12.0,2.0,27.0,07,1156157.0,1901479.0,2004,04/15/2016 08:55:02 AM,41.885446536,-87.702019332,"(41.885446536, -87.702019332)"
5516797,3741674,HL109299,11/21/2004 08:00:00 AM,054XX N SHERIDAN RD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,2023,20.0,48.0,77.0,11,1168654.0,1936401.0,2004,04/15/2016 08:55:02 AM,41.98101273,-87.65511368,"(41.98101273, -87.65511368)"
5516804,3741681,HL111118,12/17/2004 07:00:00 PM,020XX W FULTON ST,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,1332,12.0,27.0,28.0,06,1162789.0,1902007.0,2004,04/15/2016 08:55:02 AM,41.886758946,-87.677650566,"(41.886758946, -87.677650566)"
5516812,3741690,HL111091,10/12/2004 09:00:00 AM,0000X N LA SALLE ST,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,113,1.0,42.0,32.0,06,1175135.0,1900412.0,2004,04/15/2016 08:55:02 AM,41.882114362,-87.632361012,"(41.882114362, -87.632361012)"
5516814,3741694,HL110955,12/21/2004 05:00:00 PM,045XX W IRVING PARK RD,0890,THEFT,FROM BUILDING,CONSTRUCTION SITE,False,False,1722,17.0,38.0,16.0,06,1145105.0,1926193.0,2004,04/15/2016 08:55:02 AM,41.953480181,-87.741978902,"(41.953480181, -87.741978902)"
5516817,3741697,HL111345,10/29/2004 01:00:00 PM,071XX S RIDGELAND AVE,1120,DECEPTIVE PRACTICE,FORGERY,BANK,False,False,324,3.0,5.0,43.0,10,1189110.0,1857800.0,2004,04/15/2016 08:55:02 AM,41.764859937,-87.58241335,"(41.764859937, -87.58241335)"
5516820,3741701,HL111809,12/28/2004 03:00:00 PM,008XX W SUPERIOR ST,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,1323,12.0,27.0,24.0,06,1170697.0,1905273.0,2004,04/15/2016 08:55:02 AM,41.895551579,-87.648514749,"(41.895551579, -87.648514749)"
5516829,3741713,HL111788,12/28/2004 12:00:00 PM,023XX N HARLEM AVE,0820,THEFT,$500 AND UNDER,WAREHOUSE,False,False,2512,25.0,36.0,25.0,06,1127702.0,1914839.0,2004,04/15/2016 08:55:02 AM,41.922635121,-87.806211767,"(41.922635121, -87.806211767)"
5516846,3741740,HL109837,12/24/2004 07:00:00 PM,028XX W DIVERSEY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,False,True,1411,14.0,35.0,21.0,26,1156774.0,1918480.0,2004,04/15/2016 08:55:02 AM,41.932086228,-87.699292103,"(41.932086228, -87.699292103)"
5516875,3741779,HL112209,12/31/2004 04:30:00 AM,047XX S ROCKWELL ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,False,False,911,9.0,12.0,58.0,14,1159832.0,1873154.0,2004,04/15/2016 08:55:02 AM,41.807644695,-87.68930405,"(41.807644695, -87.68930405)"
5516894,3741806,HL112436,12/29/2004 03:00:00 PM,016XX W ESTES AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,2423,24.0,49.0,1.0,26,1164240.0,1947468.0,2004,04/15/2016 08:55:02 AM,42.011475628,-87.671032075,"(42.011475628, -87.671032075)"
5516913,3741826,HL112427,12/31/2004 10:00:00 AM,024XX N ST LOUIS AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,1413,14.0,26.0,22.0,06,1152633.0,1916081.0,2004,04/15/2016 08:55:02 AM,41.9255862,-87.714573404,"(41.9255862, -87.714573404)"
5516935,3741853,HL109718,12/30/2004 09:00:00 AM,020XX W RACE AVE,0890,THEFT,FROM BUILDING,WAREHOUSE,False,False,1313,12.0,26.0,24.0,06,1162609.0,1903742.0,2004,04/15/2016 08:55:02 AM,41.8915237,-87.678262933,"(41.8915237, -87.678262933)"
5516941,3741860,HK788257,12/03/2004 09:18:51 PM,010XX W SUNNYSIDE AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,True,False,2313,19.0,46.0,3.0,04A,1168668.0,1930056.0,2004,04/15/2016 08:55:02 AM,41.963601562,-87.655246892,"(41.963601562, -87.655246892)"
5516949,3741873,HK838289,12/31/2004 04:30:00 PM,027XX W WASHINGTON BLVD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,1331,12.0,2.0,27.0,03,1158197.0,1900572.0,2004,04/15/2016 08:55:02 AM,41.882916217,-87.694552843,"(41.882916217, -87.694552843)"
5516956,3741886,HK787200,12/03/2004 12:23:36 PM,029XX E 92ND ST,0860,THEFT,RETAIL THEFT,DRUG STORE,True,False,423,4.0,7.0,46.0,06,1197295.0,1844523.0,2004,04/15/2016 08:55:02 AM,41.728226861,-87.552855036,"(41.728226861, -87.552855036)"
5516962,3741903,HK829509,12/26/2004 12:00:00 PM,017XX S STATE ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,POLICE FACILITY/VEH PARKING LOT,False,False,132,1.0,3.0,33.0,14,1176607.0,1891853.0,2004,04/15/2016 08:55:02 AM,41.858594819,-87.627214427,"(41.858594819, -87.627214427)"
5516998,3741956,HL110160,12/12/2003 09:00:00 AM,013XX N CICERO AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,OTHER,False,False,2533,25.0,37.0,25.0,11,1144130.0,1908300.0,2003,04/15/2016 08:55:02 AM,41.904398444,-87.746013692,"(41.904398444, -87.746013692)"
5517002,3741960,HL111729,11/20/2004 12:00:00 AM,017XX W ESTES AVE,1120,DECEPTIVE PRACTICE,FORGERY,DRUG STORE,False,False,2423,24.0,49.0,1.0,10,1163711.0,1947451.0,2004,04/15/2016 08:55:02 AM,42.011440194,-87.672978971,"(42.011440194, -87.672978971)"
5517010,3741968,HL111606,12/28/2004 12:01:00 AM,030XX N OAKLEY AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,1913,19.0,1.0,5.0,06,1160500.0,1920078.0,2004,04/15/2016 08:55:02 AM,41.936394814,-87.685555183,"(41.936394814, -87.685555183)"
5517011,3741969,HL109776,12/22/2004 10:00:00 AM,074XX N ROGERS AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,2422,24.0,49.0,1.0,06,1163951.0,1949684.0,2004,04/15/2016 08:55:02 AM,42.017562503,-87.672032437,"(42.017562503, -87.672032437)"
5517013,3741973,HL110649,12/30/2004 07:00:00 AM,049XX N MARINE DR,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,2024,20.0,48.0,3.0,05,1169842.0,1933434.0,2004,04/15/2016 08:55:02 AM,41.972845315,-87.65083157,"(41.972845315, -87.65083157)"
5517022,3848809,HL222470,04/04/2001 12:00:00 AM,020XX S MICHIGAN AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,134,1.0,2.0,33.0,06,1177566.0,1890686.0,2001,03/31/2006 10:03:38 PM,41.855370798,-87.623729718,"(41.855370798, -87.623729718)"
5517031,3741992,HK770306,11/23/2004 04:30:00 PM,097XX S TORRENCE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,431,4.0,7.0,51.0,05,1195426.0,1840938.0,2004,04/15/2016 08:55:02 AM,41.718435596,-87.559819409,"(41.718435596, -87.559819409)"
5517043,3742007,HL106337,09/01/2004 12:00:00 AM,086XX S UNIVERSITY AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,412,4.0,8.0,45.0,06,1185826.0,1847933.0,2004,04/15/2016 08:55:02 AM,41.737861954,-87.594760419,"(41.737861954, -87.594760419)"
5517056,3742025,HL109623,10/28/2004 10:21:00 PM,019XX W EVERGREEN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,1424,14.0,1.0,24.0,26,1163231.0,1909060.0,2004,04/15/2016 08:55:02 AM,41.906103642,-87.675828938,"(41.906103642, -87.675828938)"
5517064,3742033,HK835866,12/30/2004 01:00:00 PM,015XX W ROOSEVELT RD,0560,ASSAULT,SIMPLE,GAS STATION,True,False,1231,12.0,2.0,28.0,08A,1166240.0,1894783.0,2004,04/15/2016 08:55:02 AM,41.866862652,-87.665184141,"(41.866862652, -87.665184141)"
5517066,3742036,HL109342,12/31/2004 01:30:00 PM,009XX W WINONA ST,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,2024,20.0,48.0,3.0,08A,1169059.0,1934323.0,2004,04/15/2016 08:55:02 AM,41.975301836,-87.653684867,"(41.975301836, -87.653684867)"
5517089,3742060,HK792594,12/06/2004 10:00:55 AM,090XX S EXCHANGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,True,423,4.0,10.0,46.0,08B,1197335.0,1845691.0,2004,04/15/2016 08:55:02 AM,41.731430954,-87.552669707,"(41.731430954, -87.552669707)"
5517090,3742061,HL109559,12/31/2004 04:00:00 AM,058XX N MAPLEWOOD AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,False,2011,20.0,40.0,2.0,11,1158273.0,1938755.0,2004,04/15/2016 08:55:02 AM,41.987691414,-87.693226899,"(41.987691414, -87.693226899)"
5517105,3742080,HL111068,12/02/2004 02:00:00 PM,069XX N ASHLAND BLVD,0890,THEFT,FROM BUILDING,OTHER,False,False,2431,24.0,49.0,1.0,06,1164515.0,1946361.0,2004,04/15/2016 08:55:02 AM,42.008432156,-87.670051794,"(42.008432156, -87.670051794)"
5517107,3742083,HL110244,12/14/2004 12:01:00 AM,032XX N CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1733,17.0,33.0,21.0,06,1157136.0,1921723.0,2004,04/15/2016 08:55:02 AM,41.940977892,-87.697873461,"(41.940977892, -87.697873461)"
5517122,3742107,HL110974,12/22/2004 11:20:00 AM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,122,1.0,42.0,32.0,06,1176352.0,1900927.0,2004,04/15/2016 08:55:02 AM,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
5517156,3742149,HL112019,11/30/2004 09:00:00 AM,034XX W HOLLYWOOD AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,1711,17.0,39.0,13.0,06,1152566.0,1937666.0,2004,04/15/2016 08:55:02 AM,41.984818265,-87.714246628,"(41.984818265, -87.714246628)"
5517159,3742154,HL112145,01/05/2004 05:19:00 PM,006XX S FEDERAL ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,False,False,132,1.0,2.0,32.0,11,1175898.0,1897462.0,2004,04/15/2016 08:55:02 AM,41.874002251,-87.629648123,"(41.874002251, -87.629648123)"
5517167,3742161,HL112796,12/27/2004 10:00:00 PM,061XX S KOLIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,813,8.0,13.0,65.0,14,1148426.0,1863498.0,2004,04/15/2016 08:55:02 AM,41.781374062,-87.731386583,"(41.781374062, -87.731386583)"
5517169,3742163,HL107952,11/01/2004 12:00:00 AM,029XX W GRAND AVE,1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,CURRENCY EXCHANGE,False,False,1311,12.0,26.0,24.0,13,1156564.0,1905267.0,2004,04/15/2016 08:55:02 AM,41.895832935,-87.700422143,"(41.895832935, -87.700422143)"
5517173,3742168,HL107584,12/21/2004 12:00:00 PM,0000X S CLARK ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,112,1.0,42.0,32.0,06,1175543.0,1900201.0,2004,04/15/2016 08:55:02 AM,41.881526212,-87.630869196,"(41.881526212, -87.630869196)"
5517185,3742182,HL112463,12/17/2004 03:00:00 PM,0000X N LAVERGNE AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,False,False,1533,15.0,28.0,25.0,02,1143050.0,1899760.0,2004,04/15/2016 08:55:02 AM,41.880983904,-87.750194076,"(41.880983904, -87.750194076)"
5517193,3742190,HL109591,12/20/2004 01:00:00 AM,021XX S TAN CT,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,False,True,2111,9.0,25.0,34.0,04A,1174612.0,1890561.0,2004,04/15/2016 08:55:02 AM,41.855094267,-87.634575893,"(41.855094267, -87.634575893)"
5517198,3742195,HK836894,12/30/2004 09:15:00 PM,071XX S STATE ST,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,True,False,323,7.0,6.0,69.0,03,1177519.0,1857812.0,2004,04/15/2016 08:55:02 AM,41.765162688,-87.624896894,"(41.765162688, -87.624896894)"
5517212,3742209,HL100897,12/31/2004 09:30:00 AM,072XX S PHILLIPS AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,334,3.0,7.0,43.0,05,1193782.0,1857329.0,2004,04/15/2016 08:55:02 AM,41.763454279,-87.565304885,"(41.763454279, -87.565304885)"
5517216,3742213,HL109584,12/20/2004 03:00:00 PM,077XX S PAXTON AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",RESIDENCE,False,False,414,4.0,8.0,43.0,07,1192211.0,1854138.0,2004,04/15/2016 08:55:02 AM,41.754736265,-87.57116643,"(41.754736265, -87.57116643)"
5517261,3742280,HL107798,01/05/2004 10:04:00 AM,023XX S CHRISTIANA AVE,0610,BURGLARY,FORCIBLE ENTRY,"SCHOOL, PUBLIC, BUILDING",False,False,1024,10.0,22.0,30.0,05,1154399.0,1888201.0,2004,04/15/2016 08:55:02 AM,41.849045571,-87.708829783,"(41.849045571, -87.708829783)"
5517274,3742300,HK838733,12/31/2004 10:40:00 PM,070XX S CRANDON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,331,3.0,5.0,43.0,08B,1192546.0,1858550.0,2004,04/15/2016 08:55:02 AM,41.76683499,-87.569795264,"(41.76683499, -87.569795264)"
5517276,3742302,HL111492,12/23/2004 05:00:00 PM,035XX N MILWAUKEE AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GROCERY FOOD STORE,False,False,1731,17.0,30.0,16.0,10,1147006.0,1923453.0,2004,04/15/2016 08:55:02 AM,41.945925187,-87.735060894,"(41.945925187, -87.735060894)"
5517277,3742303,HK837318,12/31/2004 04:16:42 AM,085XX S MACKINAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,True,False,424,4.0,10.0,46.0,14,1199950.0,1849082.0,2004,04/15/2016 08:55:02 AM,41.740670623,-87.54297612,"(41.740670623, -87.54297612)"
5517281,3742308,HK836122,12/30/2004 07:15:00 AM,021XX S CALUMET AVE,0810,THEFT,OVER $500,STREET,False,False,133,1.0,2.0,33.0,06,1178840.0,1890202.0,2004,04/15/2016 08:55:02 AM,41.854013684,-87.619068382,"(41.854013684, -87.619068382)"
5517293,3742323,HL111805,08/25/2004 12:00:00 AM,109XX S KEDZIE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,False,2211,22.0,19.0,74.0,11,1156966.0,1831943.0,2004,04/15/2016 08:55:02 AM,41.694613577,-87.700926819,"(41.694613577, -87.700926819)"
5517294,3742324,HK836119,12/30/2004 07:15:00 AM,021XX S CALUMET AVE,0810,THEFT,OVER $500,STREET,False,False,133,1.0,2.0,33.0,06,1178840.0,1890202.0,2004,04/15/2016 08:55:02 AM,41.854013684,-87.619068382,"(41.854013684, -87.619068382)"
5517295,3849178,HL221255,03/01/2001 12:01:00 AM,072XX W BALMORAL AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,False,False,1613,16.0,41.0,10.0,06,1126968.0,1934917.0,2001,03/31/2006 10:03:38 PM,41.977743851,-87.808456979,"(41.977743851, -87.808456979)"
5517348,3742386,HL110352,12/17/2004 01:50:00 PM,020XX N ORCHARD ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,1812,18.0,43.0,7.0,08B,1171278.0,1913694.0,2004,04/15/2016 08:55:02 AM,41.918646522,-87.64613311,"(41.918646522, -87.64613311)"
5517357,3742399,HL112856,12/24/2004 08:00:00 AM,015XX W HOOD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,2433,24.0,48.0,77.0,05,1164932.0,1940932.0,2004,04/15/2016 08:55:02 AM,41.99352598,-87.668672608,"(41.99352598, -87.668672608)"
5517372,3742416,HL112887,09/09/2004 09:14:00 PM,0000X E OAK ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,1824,18.0,42.0,8.0,26,1176586.0,1907223.0,2004,04/15/2016 08:55:02 AM,41.900771451,-87.626827076,"(41.900771451, -87.626827076)"
5517373,3742417,HL112879,06/22/2004 12:00:00 PM,018XX S AVERS AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,1014,10.0,24.0,29.0,26,1151031.0,1890714.0,2004,04/15/2016 08:55:02 AM,41.856008096,-87.721125022,"(41.856008096, -87.721125022)"
5517375,3742420,HL110148,12/19/2004 02:00:00 PM,019XX S WENTWORTH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2111,9.0,25.0,34.0,14,1175353.0,1890948.0,2004,04/15/2016 08:55:02 AM,41.856139643,-87.631844513,"(41.856139643, -87.631844513)"
5517380,3742429,HL100158,12/31/2004 11:55:00 PM,003XX E OHIO ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,True,True,1834,18.0,42.0,8.0,08B,1178513.0,1904263.0,2004,04/15/2016 08:55:02 AM,41.892605313,-87.619839586,"(41.892605313, -87.619839586)"
5517385,3742437,HL105476,01/02/2004 04:00:00 AM,095XX S LA SALLE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,511,5.0,21.0,49.0,07,1176957.0,1841794.0,2004,04/15/2016 08:55:02 AM,41.721220015,-87.627438388,"(41.721220015, -87.627438388)"
5517387,3742438,HL107896,12/16/2004 09:45:00 AM,103XX S ELIZABETH ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,2232,22.0,21.0,73.0,08B,1169846.0,1836216.0,2004,04/15/2016 08:55:02 AM,41.706070186,-87.653645803,"(41.706070186, -87.653645803)"
