,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5517406,3742461,HL112886,12/17/2004 12:00:00 PM,013XX E 75TH ST,0895,THEFT,FROM COIN-OP MACHINE/DEVICE,SIDEWALK,False,False,324,3.0,5.0,43.0,06,1186661.0,1855540.0,2004,04/15/2016 08:55:02 AM,41.758716607,-87.591460936,"(41.758716607, -87.591460936)"
5517410,3742465,HL112884,12/17/2004 12:00:00 PM,071XX S STONY ISLAND AVE,0895,THEFT,FROM COIN-OP MACHINE/DEVICE,SIDEWALK,False,False,324,3.0,5.0,43.0,06,1188052.0,1857762.0,2004,04/15/2016 08:55:02 AM,41.764780941,-87.586292369,"(41.764780941, -87.586292369)"
5517411,3742467,HL102753,11/17/2004 01:00:00 AM,008XX N MICHIGAN AVE,0560,ASSAULT,SIMPLE,OTHER,False,False,1833,18.0,42.0,8.0,08A,1177338.0,1906192.0,2004,04/15/2016 08:55:02 AM,41.897925312,-87.624096271,"(41.897925312, -87.624096271)"
5517434,3742491,HL110246,12/06/2004 12:00:00 AM,002XX E HURON ST,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,HOSPITAL BUILDING/GROUNDS,False,False,1834,18.0,42.0,8.0,06,1178046.0,1905133.0,2004,04/15/2016 08:55:02 AM,41.895003278,-87.62152816,"(41.895003278, -87.62152816)"
5517446,3742505,HL106669,12/17/2004 09:30:00 PM,007XX W FULLERTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,HOSPITAL BUILDING/GROUNDS,False,False,1812,18.0,43.0,7.0,14,1171086.0,1916185.0,2004,04/15/2016 08:55:02 AM,41.925486166,-87.646765255,"(41.925486166, -87.646765255)"
5517449,3742508,HL110303,12/31/2004 08:00:00 PM,090XX S BISHOP ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,False,True,2222,22.0,21.0,73.0,04A,1168253.0,1844777.0,2004,04/15/2016 08:55:02 AM,41.729597238,-87.659233819,"(41.729597238, -87.659233819)"
5517450,3849422,HL218572,06/01/2001 12:00:00 PM,085XX S EXCHANGE AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,GAS STATION,False,False,423,4.0,10.0,46.0,06,1197256.0,1848855.0,2001,03/31/2006 10:03:38 PM,41.740115188,-87.552853996,"(41.740115188, -87.552853996)"
5517463,3742526,HL111535,12/23/2004 04:00:00 PM,114XX S CHAMPLAIN AVE,0610,BURGLARY,FORCIBLE ENTRY,CONSTRUCTION SITE,False,False,531,5.0,9.0,50.0,05,1182618.0,1829335.0,2004,04/15/2016 08:55:02 AM,41.686901662,-87.607088299,"(41.686901662, -87.607088299)"
5517464,3742527,HL112732,01/08/2004 04:48:00 AM,016XX N SPAULDING AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1422,14.0,26.0,23.0,09,1153893.0,1910664.0,2004,04/15/2016 08:55:02 AM,41.910696449,-87.710088179,"(41.910696449, -87.710088179)"
5517465,3742529,HK835957,12/30/2004 12:01:00 AM,010XX N HARDING AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,1112,11.0,27.0,23.0,07,1149868.0,1906552.0,2004,04/15/2016 08:55:02 AM,41.899492018,-87.724981793,"(41.899492018, -87.724981793)"
